,epochs,loss_train,loss_valid,acc_train,acc_valid
0,1.0,1.039,0.779,0.59,0.7
1,2.0,0.617,0.744,0.768,0.735
2,3.0,0.469,0.743,0.817,0.771
3,4.0,0.318,0.765,0.88,0.758
4,5.0,0.266,0.869,0.909,0.758
5,6.0,0.228,0.886,0.922,0.742
6,7.0,0.195,1.005,0.932,0.704
7,8.0,0.187,0.969,0.935,0.74
8,9.0,0.123,0.946,0.963,0.748
9,10.0,0.119,0.918,0.96,0.775
10,11.0,0.085,1.016,0.975,0.769
11,12.0,0.058,1.195,0.98,0.765
12,13.0,0.093,1.245,0.971,0.752
13,14.0,0.102,1.031,0.966,0.785
14,15.0,0.076,1.043,0.976,0.794
15,16.0,0.066,1.234,0.974,0.762
16,17.0,0.063,1.104,0.982,0.792
17,18.0,0.045,1.177,0.987,0.783
18,19.0,0.046,1.14,0.983,0.762
19,20.0,0.039,1.258,0.986,0.773
20,21.0,0.037,1.341,0.985,0.773
21,22.0,0.077,1.254,0.977,0.767
22,23.0,0.058,1.544,0.981,0.748
23,24.0,0.082,1.278,0.974,0.744
24,25.0,0.056,1.424,0.984,0.746
25,26.0,0.033,1.594,0.987,0.744
26,27.0,0.079,1.14,0.981,0.756
27,28.0,0.068,1.487,0.98,0.746
28,29.0,0.05,1.447,0.984,0.748
29,30.0,0.047,1.419,0.986,0.765
30,31.0,0.044,1.169,0.987,0.792
31,32.0,0.019,1.405,0.993,0.767
32,33.0,0.045,1.261,0.987,0.777
33,34.0,0.049,1.292,0.987,0.769
34,35.0,0.046,1.303,0.984,0.75
35,36.0,0.043,1.268,0.984,0.788
36,37.0,0.031,1.467,0.991,0.762
37,38.0,0.015,1.258,0.995,0.762
38,39.0,0.024,1.463,0.991,0.76
39,40.0,0.033,1.291,0.988,0.767
40,41.0,0.014,1.414,0.994,0.788
41,42.0,0.028,1.423,0.994,0.798
42,43.0,0.014,1.425,0.993,0.788
43,44.0,0.01,1.409,0.996,0.794
44,45.0,0.012,1.373,0.994,0.792
45,46.0,0.004,1.477,0.998,0.781
46,47.0,0.005,1.574,0.997,0.775
47,48.0,0.006,1.475,0.997,0.788
48,49.0,0.003,1.544,0.999,0.785
49,50.0,0.014,1.521,0.995,0.775
